Date,Name,State
["19/01/2022, 15:52:58","Back Yard Lights",1]
["19/01/2022, 15:53:12","Back Yard Lights",1]
["19/01/2022, 15:53:27","Back Yard Lights",1]
["19/01/2022, 15:53:42","Back Yard Lights",1]
["19/01/2022, 15:53:57","Front Lights",0]
["19/01/2022, 15:53:57","Back Yard Lights",1]
["19/01/2022, 15:53:58","Back Yard Lights",1]
["19/01/2022, 15:54:12","Back Yard Lights",1]
["19/01/2022, 15:54:27","Back Yard Lights",1]
["19/01/2022, 15:54:42","Back Yard Lights",1]
["19/01/2022, 15:54:57","Front Lights",0]
["19/01/2022, 15:54:57","Back Yard Lights",1]
["19/01/2022, 15:54:58","Back Yard Lights",1]
["19/01/2022, 15:55:12","Back Yard Lights",1]
["19/01/2022, 15:55:27","Back Yard Lights",1]
["19/01/2022, 15:55:42","Back Yard Lights",1]
["19/01/2022, 15:55:57","Front Lights",0]
["19/01/2022, 15:55:57","Back Yard Lights",1]
["19/01/2022, 15:55:58","Back Yard Lights",1]
["19/01/2022, 15:56:12","Back Yard Lights",1]
["19/01/2022, 15:56:27","Back Yard Lights",1]
["19/01/2022, 15:56:42","Back Yard Lights",1]
["19/01/2022, 15:56:57","Front Lights",0]
["19/01/2022, 15:56:57","Back Yard Lights",1]
["19/01/2022, 15:56:58","Back Yard Lights",1]
["19/01/2022, 15:57:12","Back Yard Lights",1]
["19/01/2022, 15:57:27","Back Yard Lights",1]
["19/01/2022, 15:57:42","Back Yard Lights",1]
["19/01/2022, 15:57:57","Front Lights",0]
["19/01/2022, 15:57:57","Back Yard Lights",1]
["19/01/2022, 15:57:58","Back Yard Lights",1]
["19/01/2022, 15:58:12","Back Yard Lights",1]
["19/01/2022, 15:58:27","Back Yard Lights",1]
["19/01/2022, 15:58:42","Back Yard Lights",1]
["19/01/2022, 15:58:57","Front Lights",0]
["19/01/2022, 15:58:57","Back Yard Lights",1]
["19/01/2022, 15:58:58","Back Yard Lights",1]
["19/01/2022, 15:59:12","Back Yard Lights",1]
["19/01/2022, 15:59:27","Back Yard Lights",1]
["19/01/2022, 15:59:42","Back Yard Lights",1]
["19/01/2022, 15:59:57","Front Lights",0]
["19/01/2022, 15:59:57","Back Yard Lights",1]
["19/01/2022, 15:59:58","Back Yard Lights",1]
["19/01/2022, 16:00:12","Back Yard Lights",1]
["19/01/2022, 16:00:27","Back Yard Lights",1]
["19/01/2022, 16:00:42","Back Yard Lights",1]
["19/01/2022, 16:00:57","Front Lights",0]
["19/01/2022, 16:00:57","Back Yard Lights",1]
["19/01/2022, 16:00:58","Back Yard Lights",1]
["19/01/2022, 16:01:12","Back Yard Lights",1]
["19/01/2022, 16:01:27","Back Yard Lights",1]
["19/01/2022, 16:01:42","Back Yard Lights",1]
["19/01/2022, 16:01:57","Front Lights",0]
["19/01/2022, 16:01:57","Back Yard Lights",1]
["19/01/2022, 16:01:58","Back Yard Lights",1]
["19/01/2022, 16:02:12","Back Yard Lights",1]
